"set_num","name","year","num_parts","theme"
"00-1","Weetabix Castle",1970,471,"Legoland"
"0011-2","Town Mini-Figures",1978,12,"Classic Town"
"0011-3","Castle 2 for 1 Bonus Offer",1987,2,"Castle"
"0012-1","Space Mini-Figures",1979,12,"Space"
"0013-1","Space Mini-Figures",1979,12,"Space"
"0014-1","Space Mini-Figures",1979,12,"Space"
"0015-1","Space Mini-Figures",1979,18,"Space"
"0016-1","Castle Mini Figures",1978,15,"Castle"
"00-2","Weetabix Promotional House 1",1976,147,"Legoland"
"00-3","Weetabix Promotional House 2",1976,149,"Legoland"
"00-4","Weetabix Promotional Windmill",1976,126,"Legoland"
"005-1","Basic Building Set in Cardboard",1965,35,"Classic"
"00-6","Special Offer",1985,3,"Town"
"00-7","Weetabix Promotional Lego Village",1976,3,"Legoland"
"010-1","Basic Building Set in Cardboard",1965,57,"Classic"
"010-3","Basic Building Set",1968,77,"Classic"
"011-1","Basic Building Set",1968,145,"Classic"
"022-1","Basic Building Set",1968,110,"Classic"
"03093-1","The Race to Build It Board Game",1999,70,"Gear"
"033-2","Basic Building Set",1968,177,"Classic"
"044-1","Basic Building Set",1968,225,"Classic"
"055-2","Basic Building Set",1968,256,"Classic"
"066-1","Basic Building Set",1968,407,"Classic"
"080-1","Basic Building Set with Train",1967,710,"Classic"
"088-1","Super Set",1969,615,"Universal Building Set"
"10000-1","Guarded Inn",2001,256,"Castle"
"10001-1","Metroliner",2001,785,"Train"
"10002-1","Railroad Club Car",2001,272,"Train"
"10003-1","1 x 2 Sand Red Bricks",2001,100,"Bulk Bricks"
"10004-1","2 x 2 Sand Red Bricks",2001,100,"Bulk Bricks"
"10005-1","2 x 4 Sand Red Bricks",2001,50,"Bulk Bricks"
"10006-1","1 x 6 Sand Red Bricks",2001,50,"Bulk Bricks"
"10007-1","2 x 4 Sand Red Ridge Roof Tiles Steep Slope",2001,25,"Bulk Bricks"
"10008-1","2 x 4 Roof Tile Sand Red",2001,50,"Bulk Bricks"
"10009-1","Assorted Blue Bricks",2001,62,"Bulk Bricks"
"100-1","4.5V Motor with Wheels (Small Version)",1966,16,"Supplemental"
"10010-1","Assorted Yellow Bricks",2003,63,"Bulk Bricks"
"10011-1","Assorted Blue Plates",2001,42,"Bulk Bricks"
"10012-1","Assorted Yellow Plates",2001,42,"Bulk Bricks"
"10013-1","Open Freight Wagon",2001,121,"9V"
"10014-1","Caboose",2001,170,"9V"
"10015-1","Passenger Wagon",2001,194,"9V"
"10016-1","Tanker",2001,128,"9V"
"10017-1","Hopper Wagon",2001,228,"9V"
"10018-1","Darth Maul",2001,1868,"Star Wars"
"10019-1","Rebel Blockade Runner - UCS",2001,1747,"Ultimate Collector Series"
"100-2","4.5V Motor with Wheels (Large Version)",1966,27,"Supplemental"
"10020-1","Santa Fe Super Chief, NOT the Limited Edition",2002,427,"Train"
"10020-2","Santa Fe Super Chief, Limited Edition",2002,433,"Train"
"10021-1","U.S.S. Constellation",2003,974,"Hobby Sets"
"10022-1","Santa Fe Cars - Set II (dining, observation, or sleeping car)",2002,410,"9V"
"10023-1","Master Builder Set",2002,112,"Bionicle"
"10024-1","Red Baron",2002,669,"Sculptures"
"10025-1","Santa Fe Cars - Set I (mail or baggage car)",2002,325,"9V"
"10026-1","Naboo Starfighter - UCS",2002,187,"Ultimate Collector Series"
"10027-1","Train Engine Shed",2003,670,"9V"
"10029-1","Lunar Lander",2003,468,"Discovery"
"10030-1","Imperial Star Destroyer - UCS",2002,3115,"Ultimate Collector Series"
"10036-1","Pizza To Go",2002,150,"Classic Town"
"10037-1","Breezeway Cafe",2002,194,"Classic Town"
"10039-1","Black Falcon's Fortress",2002,431,"Castle"
"10040-1","Black Seas Barracuda",2002,914,"Pirates"
"10041-1","Main Street, Reissue",2003,639,"Classic Town"
"10042-1","American Flag",2003,35,"Seasonal"
"10043-1","2x2 Electrical Plate",2002,1,"Bulk Bricks"
"10044-1","Windows and Doors",2002,44,"Bulk Bricks"
"10045-1","Pillars and Beams",2002,13,"Bulk Bricks"
"10046-1","Brown Tiles",2002,100,"Bulk Bricks"
"10047-1","Light Gray Arches",2002,36,"Bulk Bricks"
"10048-1","Small Wheels and Axles",2002,61,"Bulk Bricks"
"10049-1","Large Wheels and Axles",2002,31,"Bulk Bricks"
"10050-1","Gray Fences",2002,34,"Bulk Bricks"
"10051-1","Transparent Bricks",2002,50,"Bulk Bricks"
"10053-1","Black Slopes 33",2003,44,"Bulk Bricks"
"10054-1","Black Slopes 33 3 x 2 and 3 x 4",2003,68,"Bulk Bricks"
"10055-1","Black Slopes 33 3 x 1 and 3 x 3",2003,50,"Bulk Bricks"
"10056-1","White Plates 2 x n",2002,56,"Bulk Bricks"
"10057-1","Black Plates 2 x n",2002,56,"Bulk Bricks"
"10058-1","Red Plates 2 x n",2002,56,"Bulk Bricks"
"10059-1","Dark Green Plates 2 x n",2002,56,"Bulk Bricks"
"10060-1","Light Gray Plates 2 x n",2002,56,"Bulk Bricks"
"10061-1","Black Plates 1 x n",2002,84,"Bulk Bricks"
"10062-1","Red Plates 1 x n",2002,84,"Bulk Bricks"
"10063-1","Dark Green Plates 1 x n",2002,84,"Bulk Bricks"
"10064-1","Light Gray Plates 1 x n",2002,84,"Bulk Bricks"
"10065-1","White Plates 1 x n",2002,84,"Bulk Bricks"
"10066-1","Castle Accessories",2002,41,"Bulk Bricks"
"10067-1","Mini-Fig Headgear",2002,53,"Bulk Bricks"
"10068-1","Santa Claus",2002,39,"Seasonal"
"10069-1","Christmas Tree",2002,33,"Seasonal"
"10070-1","Reindeer",2002,26,"Seasonal"
"10071-1","Mr. Bunny",2003,25,"Seasonal"
"10072-1","TECHNIC Beams",2003,56,"Bulk Bricks"
"10073-1","Bushes",2003,130,"Bulk Bricks"
"10074-1","Cross Axles",2003,68,"Bulk Bricks"
"10075-1","Spider-Man Action Pack",2002,25,"Super Heroes"
"10076-1","TECHNIC Gear Wheels",2002,38,"Bulk Bricks"
"10077-1","TECHNIC Motor",2003,55,"Bulk Bricks"
"10078-1","Train Connection Wire",2003,1,"Bulk Bricks"
"10079-1","Snowman",2003,42,"Seasonal"
"10080-1","Angel",2003,33,"Seasonal"
"10081-1","Birthday Pack Heart",2004,70,"Clikits"
"10082-1","Birthday Pack Daisy",2004,70,"Clikits"
"10083-1","Birthday Pack Star",2004,70,"Clikits"
"10090-1","Turkey",2003,54,"Seasonal"
"10106-1","Snowflake",2006,107,"Seasonal"
"101-1","4.5V Battery Case",1969,1,"Supplemental"
"10111-1","Foliferous Tree",2001,10,"Bulk Bricks"
"10112-1","Bush",2001,25,"Bulk Bricks"
"10113-1","Cypress Trees",2001,5,"Bulk Bricks"
"10114-1","2 x 2 Sand Red Roof Tiles",2001,100,"Bulk Bricks"
"10115-1","Jumper Bricks",2001,80,"Bulk Bricks"
"10116-1","Accessories Heart",2004,50,"Clikits"
"10117-1","Accessories Daisy",2004,50,"Clikits"
"10118-1","Accessories Star",2004,50,"Clikits"
"10121-1","NBA Basketball Teams",2003,16,"Sports"
"10123-1","Cloud City",2003,707,"Star Wars"
"10124-1","Wright Flyer",2003,663,"Sculptures"
"10127-1","NHL Action Set with Stickers",2003,56,"Sports"
